bill	type	status	chamber	date	roll	journal	yea	nay	desc	title	disposition
HB1001	B	4	house	2026-02-25	1644741	372	72	21	House - House concurred with Senate amendments	Housing matters.	candidate: unbatched
HB1001	B	4	senate	2026-02-24	1642852	223	35	13	Senate - Third reading	Housing matters.	candidate: unbatched
HB1003	B	4	house	2026-02-27	1648339	422	69	28	House - Rules Suspended. Conference Committee Report 1	Boards and commissions.	candidate: unbatched
HB1003	B	4	house	2026-02-02	1620750	188	67	29	House - Third reading	Boards and commissions.	candidate: unbatched
HB1004	B	4	house	2026-02-27	1647631	407	66	29	House - House concurred with Senate amendments	Various education matters.	candidate: unbatched
HB1004	B	4	house	2026-01-28	1618640	148	67	26	House - Third reading	Various education matters.	candidate: unbatched
HB1004	B	4	senate	2026-02-24	1642581	225	28	20	Senate - Third reading	Various education matters.	candidate: unbatched
HB1033	B	4	house	2026-02-26	1646003	389	59	27	House - House concurred with Senate amendments	Various judicial matters.	candidate: unbatched
HB1038	B	4	house	2026-02-27	1647630	405	56	37	House - Rules Suspended. Conference Committee Report 1	Gaming matters.	candidate: unbatched
HB1038	B	4	house	2026-02-02	1621114	199	67	30	House - Third reading	Gaming matters.	candidate: unbatched
HB1038	B	4	senate	2026-02-27	1648340	312	34	16	Senate - Rules Suspended. Conference Committee Report 1	Gaming matters.	candidate: unbatched
HB1038	B	4	senate	2026-02-24	1642883	229	26	22	Senate - Third reading	Gaming matters.	candidate: unbatched
HB1042	B	4	house	2026-02-25	1643911	370	59	33	House - House concurred with Senate amendments	Regulation and investment of cryptocurrency.	dropped: filter 5, a public pension crypto option and a bar on state and local rules about digital assets fit no research area
HB1042	B	4	house	2026-01-22	1615974	66	53	42	House - Third reading	Regulation and investment of cryptocurrency.	dropped: filter 5, a public pension crypto option and a bar on state and local rules about digital assets fit no research area
HB1042	B	4	senate	2026-02-19	1639191	198	35	10	Senate - Third reading	Regulation and investment of cryptocurrency.	dropped: filter 5, a public pension crypto option and a bar on state and local rules about digital assets fit no research area
HB1052	B	4	house	2026-02-26	1646506	398	68	21	House - Conference Committee Report 1	Various administrative law matters.	candidate: unbatched
HB1062	B	4	senate	2026-02-19	1639167	199	34	11	Senate - Third reading	Wake boarding and wake surfing.	dropped: filter 5, no research area maps a defensible direction for this subject, a time and place restriction on wake boarding is recreational boating regulation
